arrival,departure,final_amount,commission_amount,status
2025-04-01,2025-04-03,364.0,54.6,OK
2025-04-04,2025-04-05,630.0,94.5,OK
2025-04-06,2025-04-08,280.8,42.12,OK
2025-04-08,2025-04-10,0.0,0.0,CANCELLED
2025-04-11,2025-04-12,0.0,0.0,CANCELLED
2025-04-11,2025-04-13,239.86,35.979,OK
2025-04-12,2025-04-13,154.0,23.1,OK
2025-04-16,2025-04-18,327.6,49.14,OK
2025-04-18,2025-04-20,273.0,40.95,OK
2025-04-19,2025-04-21,327.6,49.14,OK
2025-04-19,2025-04-20,138.6,20.79,OK
2025-04-19,2025-04-20,168.0,25.2,OK
2025-04-21,2025-04-24,399.75,59.9625,OK
2025-04-23,2025-04-25,305.5,45.825,OK
2025-04-25,2025-04-28,409.5,61.425,OK
2025-04-25,2025-04-27,334.62,50.193,OK
2025-04-25,2025-04-26,176.4,26.46,OK
2025-04-25,2025-04-28,386.1,57.915,OK
2025-04-26,2025-04-27,151.2,22.68,OK
2025-04-26,2025-04-27,176.4,26.46,OK
2025-04-27,2025-04-30,456.3,68.445,OK
2025-04-28,2025-04-30,364.0,54.6,OK
2025-04-30,2025-05-01,129.15,19.3725,OK
2025-05-01,2025-05-06,0.0,0.0,CANCELLED
2025-05-02,2025-05-04,338.0,50.7,OK
2025-05-02,2025-05-04,362.88,54.432,OK
2025-05-02,2025-05-04,619.2,92.88,OK
2025-05-02,2025-05-05,408.24,61.236,OK
2025-05-03,2025-05-04,165.0,24.75,OK
2025-05-04,2025-05-06,336.96,50.544,OK
2025-05-04,2025-05-05,135.0,20.25,OK
2025-05-04,2025-05-05,128.25,19.2375,OK
2025-05-05,2025-05-07,246.24,36.936,OK
2025-05-06,2025-05-08,0.0,0.0,CANCELLED
2025-05-06,2025-05-07,135.0,20.25,OK
2025-05-06,2025-05-08,272.16,40.824,OK
2025-05-07,2025-05-10,466.56,69.984,OK
2025-05-07,2025-05-08,128.25,19.2375,OK
2025-05-08,2025-05-10,324.0,48.6,OK
2025-05-08,2025-05-10,324.0,48.6,OK
2025-05-09,2025-05-11,285.12,42.768,OK
2025-05-09,2025-05-12,0.0,0.0,CANCELLED
2025-05-09,2025-05-12,0.0,0.0,CANCELLED
2025-05-10,2025-05-13,492.48,73.872,OK
2025-05-10,2025-05-11,128.25,19.2375,OK
2025-05-10,2025-05-11,148.5,22.275,OK
2025-05-11,2025-05-17,0.0,0.0,CANCELLED
2025-05-12,2025-05-15,408.24,61.236,OK
2025-05-13,2025-05-15,259.2,38.88,OK
2025-05-13,2025-05-15,316.8,47.52,OK
2025-05-14,2025-05-16,331.2,49.68,OK
2025-05-15,2025-05-17,0.0,0.0,CANCELLED
2025-05-15,2025-05-18,550.8,82.62,OK
2025-05-16,2025-05-20,792.0,118.8,OK
2025-05-16,2025-05-18,0.0,0.0,CANCELLED
2025-05-16,2025-05-19,486.0,72.9,OK
2025-05-17,2025-05-19,375.84,56.376,OK
2025-05-17,2025-05-18,148.5,22.275,OK
2025-05-18,2025-05-19,158.63,23.7945,OK
2025-05-18,2025-05-20,0.0,0.0,CANCELLED
2025-05-18,2025-05-20,336.96,50.544,OK
2025-05-19,2025-05-21,272.16,40.824,OK
2025-05-19,2025-05-22,427.68,64.152,OK
2025-05-19,2025-05-20,128.25,19.2375,OK
2025-05-20,2025-05-21,135.0,20.25,OK
2025-05-20,2025-05-21,210.0,31.5,OK
2025-05-20,2025-05-22,336.96,50.544,OK
2025-05-20,2025-05-21,202.5,30.375,OK
2025-05-21,2025-05-23,285.12,42.768,OK
