category,price_tier,low_price,low_revenue,mid_price,mid_revenue,high_price,high_revenue,revenue_range_pct,decision
BMX,Mid,2575.4425,107679.53183037731,2662.2524691358026,109951.48472484908,2704.52,111047.74838527419,3.0743238512898254,Test slightly higher price
Cruiser,Mid,2464.0667532467533,138242.86685680508,2544.179705882353,141816.5482453246,2652.286545454545,146603.15679819154,5.878385280539419,Test slightly higher price
Electric Bike,Low,923.7439999999999,61713.24397441474,973.0378378378379,66403.05016828114,1081.6517021276595,77079.08739080947,22.46518898460545,Test slightly higher price
Electric Bike,Mid,2554.012222222222,162094.0638694535,2614.680892857143,166560.96580266938,2691.916901408451,172271.37532708337,6.095093823799921,Test slightly higher price
Electric Bike,High,4101.805869565217,274475.7572742224,4191.444179104477,270355.6401706518,4259.025813953489,267347.0387420098,2.633184364884665,Keep current pricing
Folding Bike,Low,900.5484782608696,54592.620000167924,989.6458108108108,58810.822643636806,1077.9456976744186,62912.78220284923,14.156658940351402,Test slightly higher price
Folding Bike,Mid,2540.333888888889,135773.3417011226,2669.2680555555553,153959.80439544076,2725.598441558441,162343.76836630388,17.632238551763322,Test slightly higher price
Hybrid Bike,Low,921.5457777777777,52719.17894236895,993.5184337349398,58572.77850623472,1087.0203278688525,66433.58943630203,23.149869111638427,Test slightly higher price
Hybrid Bike,Mid,2497.4771111111113,134932.2453679801,2572.7706896551726,141620.090225387,2647.396818181818,148371.2036280715,9.48803044758225,Test slightly higher price
Hybrid Bike,High,4113.444642857143,214071.21382735434,4189.553781512605,222361.77981661438,4260.13838235294,230196.34668902273,7.256716087659887,Test slightly higher price
Mountain Bike,Mid,2480.3113924050635,146595.91172049384,2536.6037254901958,151132.99604619088,2621.1911111111112,158018.54894242698,7.519057135994392,Test slightly higher price
Mountain Bike,High,4087.298142857143,261352.83288225613,4153.22328125,264296.7778589227,4251.006578947368,268637.7083814049,2.7514761939783052,Keep current pricing
Road Bike,Low,915.2800000000001,42024.513641541926,979.7611864406779,47322.4374733798,1057.9555223880598,54103.52378619091,25.26100416114126,Test slightly higher price
Road Bike,Mid,2467.375,125055.95045361633,2577.568260869565,136619.55733904673,2686.2698412698414,148533.78773317233,17.170140366610006,Test slightly higher price
Road Bike,High,4156.348888888889,213878.1460844982,4234.534285714286,220677.94922951728,4291.5387234042555,225689.7757246426,5.366923213724785,Test slightly higher price
BMX,Low,953.8237582417582,44084.828414141135,1025.2015046904314,50794.47757906955,1108.5451749067163,59218.042529620565,29.461663540376765,Test slightly higher price
Cruiser,Low,954.5945971592265,56304.89421132254,1046.547964932127,65347.86755747896,1074.3002268907562,68177.35281312726,18.762763686813273,Test slightly higher price
Cruiser,High,4116.836702047952,229807.37244969895,4185.451060784314,240281.49433371276,4241.17395053476,249004.89525203343,8.009048534085968,Test slightly higher price
