date,revenue,quantity,category
2025-04-30,129.15,1,No 1 Grafton Inn
2025-05-02,338.0,2,No 1 Grafton Inn
2025-05-02,362.88,2,No 1 Grafton Inn
2025-05-02,619.2,4,No 1 Grafton Inn
2025-05-02,408.24,3,No 1 Grafton Inn
2025-05-03,165.0,1,No 1 Grafton Inn
2025-05-04,336.96,2,No 1 Grafton Inn
2025-05-04,135.0,1,No 1 Grafton Inn
2025-05-04,128.25,1,No 1 Grafton Inn
2025-05-05,246.24,2,No 1 Grafton Inn
2025-05-06,135.0,1,No 1 Grafton Inn
2025-05-06,272.16,2,No 1 Grafton Inn
2025-05-07,466.56,3,No 1 Grafton Inn
2025-05-07,128.25,1,No 1 Grafton Inn
2025-05-08,324.0,2,No 1 Grafton Inn
2025-05-08,324.0,2,No 1 Grafton Inn
2025-05-09,285.12,2,No 1 Grafton Inn
2025-05-10,492.48,3,No 1 Grafton Inn
2025-05-10,128.25,1,No 1 Grafton Inn
2025-05-10,148.5,1,No 1 Grafton Inn
2025-05-12,408.24,3,No 1 Grafton Inn
2025-05-13,259.2,2,No 1 Grafton Inn
2025-05-13,316.8,2,No 1 Grafton Inn
2025-05-14,331.2,2,No 1 Grafton Inn
2025-05-15,550.8,3,No 1 Grafton Inn
2025-05-16,792.0,4,No 1 Grafton Inn
2025-05-16,486.0,3,No 1 Grafton Inn
2025-05-17,375.84,2,No 1 Grafton Inn
2025-05-17,148.5,1,No 1 Grafton Inn
2025-05-18,158.63,1,No 1 Grafton Inn
2025-05-18,336.96,2,No 1 Grafton Inn
2025-05-19,272.16,2,No 1 Grafton Inn
2025-05-19,427.68,3,No 1 Grafton Inn
2025-05-19,128.25,1,No 1 Grafton Inn
2025-05-20,135.0,1,No 1 Grafton Inn
2025-05-20,210.0,1,No 1 Grafton Inn
2025-05-20,336.96,2,No 1 Grafton Inn
2025-05-20,202.5,1,No 1 Grafton Inn
2025-05-21,285.12,2,No 1 Grafton Inn
2025-05-21,720.0,4,No 1 Grafton Inn
2025-05-21,331.2,2,No 1 Grafton Inn
2025-05-21,288.0,2,No 1 Grafton Inn
2025-05-22,806.4,4,No 1 Grafton Inn
2025-05-23,135.0,1,No 1 Grafton Inn
2025-05-23,135.0,1,No 1 Grafton Inn
2025-05-23,135.0,1,No 1 Grafton Inn
2025-05-23,155.25,1,No 1 Grafton Inn
2025-05-24,375.84,2,No 1 Grafton Inn
2025-05-24,182.25,1,No 1 Grafton Inn
2025-05-24,868.32,4,No 1 Grafton Inn
2025-05-25,168.75,1,No 1 Grafton Inn
2025-05-25,544.32,3,No 1 Grafton Inn
2025-05-26,570.24,4,No 1 Grafton Inn
2025-05-26,162.0,1,No 1 Grafton Inn
2025-05-26,172.5,1,No 1 Grafton Inn
2025-05-26,155.25,1,No 1 Grafton Inn
2025-05-27,168.75,1,No 1 Grafton Inn
2025-05-27,725.76,4,No 1 Grafton Inn
2025-05-27,288.0,2,No 1 Grafton Inn
2025-05-28,403.2,2,No 1 Grafton Inn
2025-05-28,135.0,1,No 1 Grafton Inn
2025-05-29,150.0,1,No 1 Grafton Inn
2025-04-01,364.0,2,No 1 Grafton Inn
2025-04-04,630.0,4,No 1 Grafton Inn
2025-04-06,280.8,2,No 1 Grafton Inn
2025-04-11,239.86,2,No 1 Grafton Inn
2025-04-12,154.0,1,No 1 Grafton Inn
2025-04-16,327.6,2,No 1 Grafton Inn
2025-04-18,273.0,2,No 1 Grafton Inn
2025-04-19,327.6,2,No 1 Grafton Inn
2025-04-19,138.6,1,No 1 Grafton Inn
2025-04-19,168.0,1,No 1 Grafton Inn
2025-04-21,399.75,3,No 1 Grafton Inn
2025-04-23,305.5,2,No 1 Grafton Inn
2025-04-25,409.5,3,No 1 Grafton Inn
2025-04-25,334.62,2,No 1 Grafton Inn
2025-04-25,176.4,1,No 1 Grafton Inn
2025-04-25,386.1,3,No 1 Grafton Inn
2025-04-26,151.2,1,No 1 Grafton Inn
2025-04-26,176.4,1,No 1 Grafton Inn
2025-04-27,456.3,3,No 1 Grafton Inn
2025-04-28,364.0,2,No 1 Grafton Inn
2025-05-30,375.84,2,No 1 Grafton Inn
2025-05-30,427.68,2,No 1 Grafton Inn
2025-05-30,356.4,2,No 1 Grafton Inn
2025-05-30,375.84,2,No 1 Grafton Inn
2025-05-31,162.0,1,No 1 Grafton Inn
2025-05-31,175.5,1,No 1 Grafton Inn
2025-06-01,133.88,1,No 1 Grafton Inn
2025-06-01,153.0,1,No 1 Grafton Inn
2025-06-01,352.0,2,No 1 Grafton Inn
2025-06-01,201.96,1,No 1 Grafton Inn
2025-06-02,820.8,3,No 1 Grafton Inn
