date,revenue,quantity,category
2022-07-11,318.32,1,Cruiser
2024-05-03,12373.88,4,Hybrid Bike
2022-09-01,12743.97,3,Folding Bike
2022-09-28,5166.03,3,Mountain Bike
2021-01-05,11824.32,3,BMX
2021-09-06,8890.599999999999,5,Mountain Bike
2020-06-08,6054.4,4,Hybrid Bike
2021-08-22,3825.94,1,Road Bike
2020-10-04,1844.8200000000002,3,Road Bike
2023-03-22,13537.0,5,Electric Bike
2022-08-14,13403.76,4,Road Bike
2022-04-11,8255.880000000001,3,Cruiser
2021-04-04,2087.23,1,Folding Bike
2022-10-03,3602.28,2,BMX
2021-01-25,6630.05,5,Cruiser
2020-02-08,4375.26,2,BMX
2021-11-12,2928.04,4,Folding Bike
2021-09-11,7938.719999999999,3,Cruiser
2022-03-07,4725.12,3,Hybrid Bike
2020-02-08,7879.04,4,Hybrid Bike
2021-05-07,3546.93,3,Electric Bike
2023-06-05,23736.7,5,Cruiser
2022-06-27,1046.43,3,Mountain Bike
2020-10-31,14084.25,5,Cruiser
2024-04-07,4396.6,4,BMX
2022-02-07,1182.42,2,Mountain Bike
2021-09-21,5874.66,3,Mountain Bike
2022-11-25,16725.68,4,Hybrid Bike
2023-07-17,6373.86,2,Hybrid Bike
2022-11-27,4897.8,1,BMX
2024-04-24,4141.54,1,Folding Bike
2023-06-16,14851.55,5,Cruiser
2020-01-06,2128.74,2,Hybrid Bike
2020-09-05,1353.8999999999999,5,Cruiser
2023-01-27,14655.420000000002,3,BMX
2021-10-23,4552.62,2,Cruiser
2021-05-26,8468.98,2,Hybrid Bike
2022-02-14,8896.36,2,BMX
2020-06-14,4188.82,1,Folding Bike
2021-03-28,5223.12,2,Folding Bike
2020-12-21,3454.15,1,Mountain Bike
2022-11-24,18470.24,4,BMX
2024-09-01,3624.52,2,Mountain Bike
2021-09-17,5879.549999999999,3,Mountain Bike
2021-08-03,16644.2,4,Mountain Bike
2021-09-22,6309.450000000001,5,Mountain Bike
2024-01-23,6569.039999999999,3,BMX
2022-06-14,3228.14,2,Hybrid Bike
2022-08-17,2897.0,4,Folding Bike
2022-04-17,5406.96,2,Electric Bike
2024-03-06,3362.4,1,Hybrid Bike
2022-11-14,6889.92,3,Road Bike
2021-08-12,11150.460000000001,3,Road Bike
2023-07-07,8983.84,2,Cruiser
2022-10-05,6687.09,3,Folding Bike
2020-07-26,7374.7,2,Folding Bike
2022-04-02,14226.65,5,Electric Bike
2023-04-07,18601.48,4,Cruiser
2021-01-24,4521.32,1,Electric Bike
2023-04-17,599.68,1,Cruiser
2023-09-25,14648.61,3,Cruiser
